"Phylum","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Firmicutes",20568,23591,34090,10303,21397,8532,25307,8528,12286,22755,13141,7438,25434,10883,3525,23679
"Proteobacteria",7280,7213,618,9371,2389,904,990,1311,24114,7404,1084,3396,1867,22440,40254,5624
"Acidobacteria",2518,1841,0,855,16,0,0,0,30,201,0,186,391,781,0,74
"Bacteroidetes",900,792,62,1387,101,0,3,40,0,0,16,193,0,128,0,375
"Actinobacteria",5722,5391,219,1719,178,112,71,95,33,1203,43,1541,365,1954,0,367
"Verrucomicrobia",1497,1525,6,330,0,0,0,0,0,323,0,0,132,216,0,7
"Chloroflexi",428,511,0,183,9,0,0,0,0,43,0,20,25,113,0,2
"Gemmatimonadetes",671,370,85,567,0,0,17,0,0,110,0,0,0,288,0,56
"Planctomycetes",547,499,0,25,0,0,0,0,0,7,0,13,0,0,0,0
"Armatimonadetes",191,213,0,48,0,0,0,5,0,35,0,0,0,64,0,0
"Fusobacteria",0,0,0,24,0,0,0,25,0,0,0,0,0,0,0,0
"Nitrospirae",189,227,0,0,0,0,0,0,0,21,0,0,0,0,0,13
"Elusimicrobia",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tenericutes",0,25,0,14,0,0,0,0,0,0,9,0,0,0,0,0
"Spirochaetes",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Cyanobacteria",8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"WPS-2",47,76,0,25,0,0,0,0,0,0,0,56,0,0,0,0
"Chlorobi",8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Crenarchaeota",304,283,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistetes",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"NC10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"WS3",7,2,0,7,0,0,0,0,0,6,0,0,0,0,0,0
"TM7",39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NKB19",0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0
"[Thermi]",41,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"FBP",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD3",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
